id	level	y	x	x̂	accuracy	include
Cal2_1_0-1-r001.d	1	3.574553419674062e-16	0.1	-0.0296907669182082	-0.296907669182082	true
Cal2_1_0-1-r002.d	1	3.4615193666952797e-16	0.1	-0.0296907669182082	-0.296907669182082	true
Cal2_2_0-2-r001.d	2	17886.67238	0.2	0.09900907679482096	0.4950453839741048	true
Cal2_2_0-2-r002.d	2	17752.32214	0.2	0.09804238748987558	0.49021193744937785	true
Cal2_3_0-5-r001.d	3	42693.04654	0.5	0.277498200408932	0.554996400817864	true
Cal2_3_0-5-r002.d	3	44711.21875	0.5	0.29201954023642307	0.5840390804728461	true
Cal2_4_01-r001.d	4	111373.9406	1.0	0.7716773380263178	0.7716773380263178	true
Cal2_4_01-r002.d	4	115690.2834	1.0	0.802734687988908	0.802734687988908	true
Cal2_5_02-r001.d	5	349571.6874	2.0	2.4855798535234843	1.2427899267617422	true
Cal2_5_02-r002.d	5	314862.5397	2.0	2.235837375464944	1.117918687732472	true
Cal2_6_05-r001.d	6	621897.8468	5.0	4.445046288036972	0.8890092576073944	true
Cal2_6_05-r002.d	6	665191.7335	5.0	4.7565584761983555	0.9513116952396711	true
Cal2_7_10-r001.d	7	1.737804108e6	10.0	12.474318494946521	1.2474318494946521	true
Cal2_7_10-r002.d	7	1.80795116e6	10.0	12.979047068128434	1.2979047068128433	true
Cal2_8_15-r001.d	8	1.745017304e6	15.0	12.526219551674629	0.8350813034449752	true
Cal2_8_15-r002.d	8	1.602013153e6	15.0	11.497262823837787	0.7664841882558524	true
Cal2_9_20-r001.d	9	2.976148312e6	20.0	21.38456754137846	1.069228377068923	true
Cal2_9_20-r002.d	9	2.85793148e6	20.0	20.53396282970154	1.026698141485077	true
