id	level	y	x	x̂	accuracy	include
Cal2_1_0-1-r001.d	1	259569.4496	1.0	-3.1281175728158246	-3.1281175728158246	true
Cal2_1_0-1-r002.d	1	277206.4453	1.0	-3.0571851662480034	-3.0571851662480034	true
Cal2_2_0-2-r001.d	2	603605.1087	2.0	-1.744476182853387	-0.8722380914266935	true
Cal2_2_0-2-r002.d	2	589825.9573	2.0	-1.7998931249386176	-0.8999465624693088	true
Cal2_3_0-5-r001.d	3	1.387970174e6	5.0	1.4100804466215096	0.2820160893243019	true
Cal2_3_0-5-r002.d	3	1.348437809e6	5.0	1.251089321689301	0.2502178643378602	true
Cal2_4_01-r001.d	4	2.638933058e6	10.0	6.4411985235591915	0.6441198523559192	true
Cal2_4_01-r002.d	4	2.801297408e6	10.0	7.0941948888256405	0.709419488882564	true
Cal2_5_02-r001.d	5	5.468868319e6	20.0	17.8226220895844	0.89113110447922	true
Cal2_5_02-r002.d	5	6.043549352e6	20.0	20.13387222384459	1.0066936111922296	true
Cal2_6_05-r001.d	6	1.331777633e7	50.0	49.389332408036246	0.9877866481607249	true
Cal2_6_05-r002.d	6	1.393184016e7	50.0	51.8589721351783	1.0371794427035659	true
Cal2_7_10-r001.d	7	3.707554629e7	100.0	144.93824712186643	1.4493824712186643	true
Cal2_7_10-r002.d	7	3.434075087e7	100.0	133.93945662994292	1.3393945662994293	true
Cal2_8_15-r001.d	8	3.324526132e7	150.0	129.53362065463568	0.8635574710309045	true
Cal2_8_15-r002.d	8	3.384927208e7	150.0	131.96282898061258	0.8797521932040839	true
Cal2_9_20-r001.d	9	4.699506199e7	200.0	184.83252007835898	0.9241626003917949	true
Cal2_9_20-r002.d	9	5.203985149e7	200.0	205.1216365441001	1.0256081827205006	true
