id	level	y	x	x̂	accuracy	include
Cal2_1_0-1-r001.d	1	62198.64596	0.010000000000000002	0.009220302740838255	0.9220302740838253	true
Cal2_1_0-1-r002.d	1	57126.0942	0.010000000000000002	0.00846773475036734	0.8467734750367338	true
Cal2_2_0-2-r001.d	2	125017.431	0.020000000000000004	0.018549232575793953	0.9274616287896975	true
Cal2_2_0-2-r002.d	2	121217.5281	0.020000000000000004	0.017984447920553356	0.8992223960276676	true
Cal2_3_0-5-r001.d	3	300562.983	0.05	0.04470843878962998	0.8941687757925996	true
Cal2_3_0-5-r002.d	3	305789.33	0.05	0.04548929192638173	0.9097858385276345	true
Cal2_4_01-r001.d	4	620035.7347	0.1	0.09265990404896471	0.926599040489647	true
Cal2_4_01-r002.d	4	699483.8147	0.1	0.10465496865112296	1.0465496865112296	true
Cal2_5_02-r001.d	5	1.634384882e6	0.2	0.24799448871987995	1.2399724435993997	true
Cal2_5_02-r002.d	5	1.577714264e6	0.2	0.2391874711546505	1.1959373557732524	true
Cal2_6_05-r001.d	6	2.541729032e6	0.5	0.3912045337213595	0.782409067442719	true
Cal2_6_05-r002.d	6	2.453216886e6	0.5	0.3770465606797649	0.7540931213595298	true
Cal2_7_10-r001.d	7	7.317016695e6	1.0	1.2294297172271602	1.2294297172271602	true
Cal2_7_10-r002.d	7	7.247254633e6	1.0	1.2159101210868446	1.2159101210868446	true
Cal2_8_15-r001.d	8	6.681931631e6	1.5	1.1080057165324964	0.7386704776883309	true
Cal2_8_15-r002.d	8	5.868081924e6	1.5	0.957496856389467	0.638331237592978	false
Cal2_9_20-r001.d	9	1.16251513e7	2.0	2.179915422368687	1.0899577111843435	true
Cal2_9_20-r002.d	9	1.078370974e7	2.0	1.9721070950049626	0.9860535475024813	true
